level: warn, messages: Using "_" is deprecated. Use "require('lodash')" instead.
level: log, messages: [object Object]
level: log, messages: [object Object]
level: log, messages: [object Object]
level: log, messages: [object Object]
level: log, messages: [object Object]
level: log, messages: [object Object]
level: log, messages: [object Object]
level: log, messages: Товар с ID 709 успешно удален
level: log, messages: Товар с ID 708 успешно удален
level: log, messages: Товар с ID 713 успешно удален
level: log, messages: Товар с ID 711 успешно удален
level: log, messages: Товар с ID 710 успешно удален
level: log, messages: Товар с ID 712 успешно удален
level: log, messages: Товар с ID 714 успешно удален
